País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Japón,"314 Fabricación de productos textiles, excepto prendas de vestir",C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
Japón,"3141 Confección de alfombras, blancos y similares",C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8
Japón,315 Fabricación de prendas de vestir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7
Japón,3151 Fabricación de prendas de vestir de tejido de punto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3152 Confección de prendas de vestir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"3169 Fabricación de otros productos de cuero, piel y materiales sucedáneos",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,322 Industria del papel,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"3221 Fabricación de pulpa, papel y cartón",0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3222 Fabricación de productos de cartón y papel,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,323 Impresión e industrias conexas,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3231 Impresión e industrias conexas,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,324 Fabricación de productos derivados del petróleo y del carbón,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3241 Fabricación de productos derivados del petróleo y del carbón,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,325 Industria química,17.0,3.1,13.1,9.0,19.7,59.0,74.5,36.9,78.4,41.7,36.5,32.4,40.4,30.5,30.7,-18.8,21.8,0.0,526.0
Japón,3251 Fabricación de productos químicos básicos,C,0.0,C,C,0.0,0.0,0.0,C,C,C,C,3.4,0.0,C,0.0,C,C,0.0,28.8
Japón,"3252 Fabricación de resinas y hules sintéticos, y fibras químicas",0.0,C,0.0,0.0,0.0,C,7.4,C,0.0,20.7,C,C,C,6.2,1.4,0.0,C,0.0,53.7
Japón,3254 Fabricación de productos farmacéuticos,4.1,0.3,C,6.1,C,57.2,59.4,22.4,73.5,19.0,C,15.0,20.0,21.0,C,C,C,0.0,361.6
Japón,"3255 Fabricación de pinturas, recubrimientos y adhesivos",C,0.0,0.0,0.0,C,0.0,C,4.8,0.0,0.0,C,C,C,0.0,C,C,0.0,0.0,50.8
Japón,"3256 Fabricación de jabones, limpiadores y preparaciones de tocador",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,C
Japón,3259 Fabricación de otros productos químicos,C,2.8,11.3,0.5,0.2,C,-1.7,C,C,C,C,C,0.0,0.0,0.0,C,0.0,0.0,26.7
Japón,326 Industria del plástico y del hule,103.1,195.1,113.9,38.2,43.0,53.3,99.2,160.9,132.2,22.5,141.3,35.8,48.0,64.0,-8.3,16.0,31.0,6.3,"1,295.4"
Japón,3261 Fabricación de productos de plástico,21.0,28.8,50.8,25.7,37.3,47.2,88.1,154.6,118.2,18.7,105.7,30.7,43.8,61.3,-12.6,4.0,18.4,3.6,845.2
Japón,3262 Fabricación de productos de hule,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,450.2
Japón,327 Fabricación de productos a base de minerales no metálicos,0.0,0.0,0.0,C,C,C,C,C,C,0.0,C,C,0.0,0.0,C,C,0.0,0.0,C
Japón,3272 Fabricación de vidrio y productos de vidrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,C
Japón,3279 Fabricación de otros productos a base de minerales no metálicos,0.0,0.0,0.0,C,C,C,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,331 Industrias metálicas básicas,44.8,4.0,1.8,55.0,8.1,45.5,9.4,20.3,142.4,92.5,83.2,40.6,149.7,34.4,-15.9,35.8,85.0,C,857.5
Japón,3311 Industria básica del hierro y del acero,C,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3312 Fabricación de productos de hierro y acero,39.7,4.0,C,52.1,-1.8,10.4,-14.7,15.8,85.4,-0.4,61.2,38.9,149.5,30.1,-20.5,-3.0,69.9,0.0,518.5
Japón,3313 Industria básica del aluminio,0.0,0.0,0.0,0.0,C,C,C,0.0,C,C,C,0.0,0.0,0.0,9.3,0.0,0.0,0.0,187.2
Japón,"3314 Industrias de metales no ferrosos, excepto aluminio",0.0,0.0,C,0.0,0.0,C,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C
Japón,3315 Moldeo por fundición de piezas metálicas,0.0,0.0,0.0,0.0,0.0,C,10.1,C,C,C,C,C,C,C,C,C,C,C,89.7
Japón,332 Fabricación de productos metálicos,10.3,52.9,38.6,40.9,0.7,21.3,85.2,105.5,60.7,50.2,32.4,7.1,32.1,24.2,33.9,31.3,18.0,C,644.4
Japón,3321 Fabricación de productos metálicos forjados y troquelados,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,C,0.0,C,C,0.0,0.0,0.0,C
Japón,3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,3323 Fabricación de estructuras metálicas y productos de herrería,C,C,C,C,C,C,C,C,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,26.4
Japón,"3324 Fabricación de calderas, tanques y envases metálicos",0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,C
Japón,3325 Fabricación de herrajes y cerraduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Japón,"3326 Fabricación de alambre, productos de alambre y resortes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,9.3,0.0,C,C,C,C,C,0.0,36.4
Japón,3327 Maquinado de piezas y fabricación de tornillos,0.0,0.0,0.0,0.0,C,C,C,30.1,C,C,10.3,C,6.4,C,C,C,C,0.0,70.6
Japón,3329 Fabricación de otros productos metálicos,10.2,53.0,38.4,41.0,C,C,44.3,63.7,41.7,37.0,C,4.8,22.9,22.9,2.7,C,6.0,C,424.6
Japón,333 Fabricación de maquinaria y equipo,C,2.0,7.8,-1.4,-4.3,-7.2,24.7,69.2,70.0,24.4,71.8,71.1,50.3,28.0,106.8,44.2,16.4,32.9,607.2
Japón,"3331 Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",0.0,0.0,C,0.0,C,C,C,C,0.0,C,C,C,4.1,-8.6,13.1,C,C,C,30.7
Japón,"3332 Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",0.0,C,C,C,C,C,C,1.5,C,3.4,C,4.9,6.4,5.2,3.1,13.3,37.0,0.0,86.6
Japón,3333 Fabricación de maquinaria y equipo para el comercio y los servicios,0.0,C,0.0,0.0,C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,45.6
Japón,"3334 Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",C,C,C,C,C,7.2,12.7,46.3,49.7,28.0,9.0,9.2,34.0,24.8,25.2,16.5,13.0,47.3,332.3
Japón,3335 Fabricación de maquinaria y equipo para la industria metalmecánica,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,C,C,0.0,0.0,C,C,C,0.0,15.8
Japón,"3336 Fabricación de motores de combustión interna, turbinas y transmisiones",0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,C,C,C,0.0,-15.2
Japón,3339 Fabricación de otra maquinaria y equipo para la industria en general,0.0,0.0,0.0,0.0,C,C,C,C,C,C,26.5,24.9,C,6.5,C,C,0.0,C,111.5
Japón,"334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",196.0,164.2,188.6,480.3,337.7,159.6,255.9,151.8,124.7,182.0,145.0,110.5,119.7,178.2,98.1,97.4,108.8,11.8,"3,110.5"
