Pais,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Malasia,,,,,,,,,,,,,,,-0.9,1.2,0,0.1,0,-0.9,42.9,96.2,17.2,-6.1,14.2,-49.3,42.3,"1,556.70",85.8,-10.6,-24,10.7,7.4,"1,294.20",-19.3,118.5,17.3,-1.2,277.5,23.6,79.5,970.3,-5.8,0
Nicaragua,,,,,,,,,,,,,,,0,0,-0.1,0,0,0,0,4,0.4,0,0,0.3,0,0,0.5,0,0,0.3,0,0,0,-13,86.8,81,3,123.3,209.2,0,50.7,0
Noruega,,,,,,,,,,,,,,,-0.5,1.2,0,0.1,11.7,0.2,0,0.1,0.1,0,0,6.2,12.3,0.2,10.4,-0.1,0,4.4,8.1,6.4,0,0,0,3.5,0.1,20.5,4.2,-1.6,-3.6,0
Nueva Zelandia,,,,,,,,,,,,,,,0,0,0,0,0.1,0,0.7,3.5,8.1,26.6,7.3,14.2,8.4,33.7,-6.1,115.5,9,236.7,63.9,12.3,30.3,85.5,21.7,46,57.8,14.5,9.9,-12.8,129.4,0
Paises Bajos,,,,,,,,,,,,,,,783.2,743.8,427.8,368.3,"1,051.70",18.5,30.3,4.8,54.1,26.2,17.6,3.9,3.2,1.9,39,-1.1,35.5,50.3,-43.5,2,70.4,1.8,1.1,-7,4.2,3.7,-4.3,20.5,19.4,11.7
Panama,,,,,,,,,,,,,,,337.8,59.6,18.5,16.3,17.6,201.4,"1,044.00","1,187.10",438.9,501.8,350.7,452.9,260,325.4,333,298.5,"5,740.50",316.7,618.4,749.8,404.8,172.8,263.6,16,938.1,703.4,528,60,-230.4,"1,602.30"
Peru,,,,,,,,,,,,,,,0.3,0.2,0.3,0.4,2.9,18,3.2,27.8,4,5.7,-10.4,3.3,-12.7,-4.2,17.6,17.9,17,102.7,17.1,18.7,4.8,67.3,1.4,16.6,44.6,22.4,24.7,10.3,43.7,1.8
Polonia,,,,,,,,,,,,,,,0,0,0,0,0,0.6,3,1.1,1.2,-0.7,13.2,0.5,0.5,3.5,104.1,-2,-2.6,7.2,8,4.7,15.2,2.9,6.9,8.3,21.3,9.7,8.3,13.5,17.9,0.4
Portugal,,,,,,,,,,,,,,,0.1,0,0.1,0.9,3.3,0,0,0.2,0.5,0.6,1,1.5,0,0.2,0,0,1.4,0.7,0.4,1.2,0.1,-0.2,0.4,0.6,-0.5,0.6,14.6,5.5,3.6,0
Puerto Rico,,,,,,,,,,,,,,,0.9,0,1.1,8.1,39.4,4.2,-1.7,0.2,0.9,0.5,-0.3,0.5,0,0.9,52.8,15.6,18.1,20,11.7,1,1.2,-0.6,7.3,11.5,26.9,25.1,-11.4,-5,2.8,0
Reino Unido de la Gran Bretaña e Irlanda del Norte,48.6,40.9,7.4,49.2,44.3,56.3,104.3,430.9,767.6,44.7,114.4,74.2,426.8,189.2,592.2,223.6,83,"1,829.70",165.8,1,0.8,1.2,82.1,0.1,2.2,-2.3,7.3,0.8,-24.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republica Checa,,,,,,,,,,,,,,,0,0,4.4,0.5,0,839.6,883.7,77.8,"1,604.90","1,334.40","3,010.60","1,938.50",713.8,572.4,992.5,55.8,481.3,290.6,388.1,"1,452.00",296.3,899.9,488.6,200.2,313.7,832.3,789.8,"1,241.60","1,702.00",749.5
Rusia,,,,,,,,,,,,,,,0.5,0.2,0,0.2,0,0,0,0,0,0,0,0.1,0.2,4.1,5.7,0,-0.1,0.8,8.3,5.2,0.2,0,0.3,0.1,1.9,0.1,0,0.1,-0.6,0
Singapur,,,,,,,,,,,,,,,0,12.3,28.9,22.3,39.8,5.6,0.9,16,10.9,21.4,0.7,22.7,42.8,655,41.9,53.6,-3.2,110.9,25.9,140.2,-32.7,-16.4,-5.1,13.4,33,13.5,31.8,1.1,3.2,0
Sudafrica,,,,,,,,,,,,,,,-0.1,0,0,0,0,0,0,0,3.4,3.4,0,-0.5,-1.9,0.5,6.4,0.2,2.4,11.5,26.9,76.4,4.8,3,0,2,19.6,-1,-11.4,0.8,0.9,0.2
Suecia,10.9,15.3,-2,29.1,61.1,5.5,24.6,36.7,32.5,6.9,13.3,13.9,2,2.4,9.3,61,97.5,7.2,58.1,705,-174.9,94.5,-65.7,82.7,438.4,162.3,111.9,94.3,154.8,10.2,-192.2,55.8,251.1,241,178.2,-52.8,59.3,1.5,154.2,113,249.9,-104.9,186.7,22.5
Suiza,111.4,74.9,23.1,16.2,59.8,141.2,34.1,95.2,86.3,194.4,148,68.5,315.3,101.7,53.7,200,83.8,26.6,51.6,165.2,169.3,215.5,153.7,359.6,"1,648.20",343.1,593.7,395.1,328.5,323.7,-96,316.6,258.4,624.6,295.1,894.7,442.6,490.2,639.8,691.7,516.9,403.8,57.7,463.3
Taiwan,,,,,,,,,,,,,,,2.5,2.7,2.7,7.8,30.7,60.8,39.7,80.4,111.6,13.8,46.1,243.6,234.6,24.9,42.5,138.2,124.5,42.1,82.2,110.3,51.5,39.7,43.4,-26.9,-55.1,13.2,23.4,50.8,28.5,4.9
Uruguay,,,,,,,,,,,,,,,6,15.5,0.7,9.6,12.5,1.7,22.8,6.4,5.9,6.8,1.1,0.1,0.3,0.8,6.1,0.7,5.4,50.3,94.5,35.2,28.1,37.3,19.7,9.2,50.6,29.7,20.8,34.3,28.9,64.8
"Venezuela, Republica Bolivariana de",,,,,,,,,,,,,,,-0.1,0.3,2.9,0.3,0.1,21.6,3.1,5.3,8,-2.3,1,-3,-6.1,4.4,4,1.7,6.1,25.4,17.4,27.6,21.3,10.5,10.5,7.1,9.6,1.7,4.5,3.1,8.8,3.9
,,,,,,,,,,,,,,,,,,,,278,166.3,159.5,117.7,97,188.8,155,91.4,805.4,753,414.9,650.5,613.4,"2,220.90","1,397.90","1,451.00",297.1,822.3,530.8,258.8,91.8,540.8,"1,806.30",351.9,55.9
