País de Origen,"Sector, subsector y rama",Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Canadá,323 Impresión e industrias conexas,C,0.0,C,0.0,0.0,0.0,C,0.0,C,C,C,0.0,C,0.0,C,C,0.0,0.0,19.5
Canadá,3231 Impresión e industrias conexas,C,0.0,C,0.0,0.0,0.0,C,0.0,C,C,C,0.0,C,0.0,C,C,0.0,0.0,19.5
Canadá,325 Industria química,-24.8,11.5,C,5.5,-4.5,-23.9,C,C,C,0.0,C,-2.9,0.0,C,0.0,C,C,0.0,142.6
Canadá,3251 Fabricación de productos químicos básicos,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,0.0,6.1
Canadá,"3252 Fabricación de resinas y hules sintéticos, y fibras químicas",0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"3253 Fabricación de fertilizantes, pesticidas y otros agroquímicos",0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3254 Fabricación de productos farmacéuticos,-24.8,6.3,C,C,C,-25.6,C,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,131.3
Canadá,"3256 Fabricación de jabones, limpiadores y preparaciones de tocador",0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,4.7
Canadá,3259 Fabricación de otros productos químicos,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,326 Industria del plástico y del hule,C,C,0.0,C,8.7,7.3,39.7,25.3,C,0.0,C,C,50.8,19.6,22.6,C,1.8,0.0,207.8
Canadá,3261 Fabricación de productos de plástico,C,C,0.0,C,8.7,7.3,39.7,25.3,C,0.0,C,C,50.8,19.6,22.6,C,1.8,0.0,205.4
Canadá,3262 Fabricación de productos de hule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C
Canadá,327 Fabricación de productos a base de minerales no metálicos,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Canadá,3273 Fabricación de cemento y productos de concreto,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3279 Fabricación de otros productos a base de minerales no metálicos,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canadá,331 Industrias metálicas básicas,0.0,C,C,C,C,C,16.4,C,C,C,C,11.3,C,C,36.1,-2.1,C,0.0,35.5
Canadá,3312 Fabricación de productos de hierro y acero,0.0,C,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,14.5
Canadá,3313 Industria básica del aluminio,0.0,0.0,0.0,0.0,0.0,C,2.0,C,C,C,0.0,C,0.0,C,C,C,C,0.0,8.2
Canadá,"3314 Industrias de metales no ferrosos, excepto aluminio",0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,C,C,0.0,10.5
Canadá,3315 Moldeo por fundición de piezas metálicas,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,C,C,C,C,C,0.0,0.0,C
Canadá,332 Fabricación de productos metálicos,2.7,30.4,51.4,1.3,8.7,33.8,C,-7.2,1.7,1.7,C,8.0,12.0,23.3,3.3,-15.6,C,C,106.2
Canadá,3321 Fabricación de productos metálicos forjados y troquelados,0.0,0.0,0.0,0.0,C,C,0.0,0.0,C,C,C,C,C,C,C,C,C,0.0,C
Canadá,3323 Fabricación de estructuras metálicas y productos de herrería,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,C,0.0,0.0,C,0.0,C,1.3
Canadá,"3324 Fabricación de calderas, tanques y envases metálicos",0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,3325 Fabricación de herrajes y cerraduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,-4.4
Canadá,3327 Maquinado de piezas y fabricación de tornillos,C,C,C,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
Canadá,3329 Fabricación de otros productos metálicos,C,30.2,50.8,1.3,8.2,5.5,C,-7.2,C,C,C,C,C,C,C,4.0,C,0.0,103.9
Canadá,333 Fabricación de maquinaria y equipo,4.2,5.3,1.4,15.3,3.4,0.5,16.7,11.7,3.6,25.0,7.6,C,17.3,-1.8,57.6,C,C,C,393.4
Canadá,"3331 Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",0.0,6.8,C,C,C,C,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,10.1
Canadá,"3332 Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",C,C,0.0,C,0.6,0.0,C,C,C,0.0,C,0.0,C,C,C,0.0,0.0,C,9.8
Canadá,3333 Fabricación de maquinaria y equipo para el comercio y los servicios,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,10.6
Canadá,"3334 Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",C,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,-0.9
Canadá,3335 Fabricación de maquinaria y equipo para la industria metalmecánica,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Canadá,"3336 Fabricación de motores de combustión interna, turbinas y transmisiones",C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
