"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Alemania,332 Fabricación de productos metálicos,8.7,1.7,3.0,2.1,2.6,3.8,9.7,19.3,11.9,2.0,9.2,17.5,78.2,30.5,30.1,-13.6,-7.1,C,210.5
Alemania,3321 Fabricación de productos metálicos forjados y troquelados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,C,C,C,C,C,C,0.0,11.3
Alemania,3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3323 Fabricación de estructuras metálicas y productos de herrería,0.0,C,C,C,C,0.7,C,0.0,0.0,0.0,0.0,C,C,C,C,0.0,0.0,0.0,68.7
Alemania,"3324 Fabricación de calderas, tanques y envases metálicos",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,C,0.0,C
Alemania,3325 Fabricación de herrajes y cerraduras,0.0,0.0,C,0.0,C,0.0,C,C,0.0,0.0,C,0.0,C,0.0,C,0.0,C,0.0,7.8
Alemania,"3326 Fabricación de alambre, productos de alambre y resortes",0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,4.3
Alemania,3327 Maquinado de piezas y fabricación de tornillos,1.9,C,0.2,C,C,C,C,C,C,C,C,C,7.2,C,38.1,C,C,C,69.6
Alemania,3328 Recubrimientos y terminados metálicos,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3329 Fabricación de otros productos metálicos,6.8,C,C,1.5,C,C,2.3,15.2,C,1.6,5.5,0.9,43.4,15.5,-2.3,-1.6,-1.5,0.0,98.2
Alemania,333 Fabricación de maquinaria y equipo,66.7,125.8,76.4,47.1,114.4,-204.3,62.9,39.4,12.9,20.2,72.6,143.6,127.0,39.9,57.4,103.1,-174.0,46.5,777.7
Alemania,"3331 Fabricación de maquinaria y equipo agropecuario, para la construcción y para la industria extractiva",C,6.4,1.8,0.8,7.9,2.4,0.5,5.7,1.6,C,4.8,1.8,C,C,2.0,C,C,C,72.3
Alemania,"3332 Fabricación de maquinaria y equipo para las industrias manufactureras, excepto la metalmecánica",25.3,58.0,20.1,30.2,106.7,-219.7,38.4,6.8,0.0,13.6,53.4,110.0,90.2,20.8,2.5,22.6,-229.8,C,149.8
Alemania,3333 Fabricación de maquinaria y equipo para el comercio y los servicios,C,C,C,C,C,C,C,C,2.0,3.6,0.0,-8.3,2.4,C,12.9,C,C,C,34.7
Alemania,"3334 Fabricación de equipo de aire acondicionado, calefacción, y de refrigeración industrial y comercial",0.8,26.8,C,C,4.0,C,C,C,C,C,C,-13.7,-33.6,C,14.8,51.3,18.5,C,161.9
Alemania,3335 Fabricación de maquinaria y equipo para la industria metalmecánica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,0.0,C,0.0,C,0.0,2.9
Alemania,"3336 Fabricación de motores de combustión interna, turbinas y transmisiones",C,C,C,12.8,C,C,C,C,C,0.6,C,C,C,0.8,C,C,C,C,265.6
Alemania,3339 Fabricación de otra maquinaria y equipo para la industria en general,3.9,C,1.0,-0.1,C,C,C,5.4,C,C,0.0,C,21.4,-10.5,17.2,C,C,C,90.4
Alemania,"334 Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos",6.8,10.4,52.3,22.2,15.7,4.5,6.3,-1.4,-16.0,C,2.2,6.7,6.2,8.9,-0.8,21.0,-3.3,C,141.7
Alemania,3341 Fabricación de computadoras y equipo periférico,C,C,C,0.2,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2
Alemania,3342 Fabricación de equipo de comunicación,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,C,C,0.0,3.3
Alemania,3343 Fabricación de equipo de audio y de video,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Alemania,3344 Fabricación de componentes electrónicos,C,C,C,C,C,1.7,0.7,C,C,0.0,C,C,C,0.0,0.0,C,0.0,0.0,68.1
Alemania,"3345 Fabricación de instrumentos de medición, control, navegación, y equipo médico electrónico",0.0,11.4,3.7,0.7,C,C,5.6,-1.4,C,C,0.0,-1.0,C,4.4,7.6,C,C,C,66.7
Alemania,3346 Fabricación y reproducción de medios magnéticos y ópticos,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,C,C,C,0.0,C
Alemania,"335 Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica",13.4,25.3,3.7,2.5,6.8,14.6,2.4,1.4,14.2,2.8,26.0,29.6,31.6,90.6,1.5,-32.0,27.1,C,263.0
Alemania,3351 Fabricación de accesorios de iluminación,C,C,C,C,C,C,C,C,C,C,2.6,C,0.0,C,C,C,C,C,62.2
Alemania,3352 Fabricación de aparatos eléctricos de uso doméstico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,C
Alemania,3353 Fabricación de equipo de generación y distribución de energía eléctrica,C,C,C,C,0.0,0.0,C,C,C,C,0.0,C,0.0,C,C,C,0.0,0.0,4.0
Alemania,3359 Fabricación de otros equipos y accesorios eléctricos,12.1,24.1,C,C,C,13.0,0.1,-0.5,C,C,23.4,C,31.6,C,-2.2,-32.9,-3.0,0.0,172.9
Alemania,336 Fabricación de equipo de transporte,290.9,231.2,223.6,180.6,245.6,240.6,393.8,"1,288.4","1,291.5",874.8,"1,214.4","1,590.5","1,535.1","2,237.6",634.8,"1,358.3",-215.7,865.9,"14,482.0"
Alemania,3361 Fabricación de automóviles y camiones,0.1,54.5,C,13.1,38.3,C,172.5,"1,001.1",894.6,626.1,935.3,873.6,889.6,"1,735.8",608.5,710.5,-164.4,778.9,"9,178.2"
Alemania,3363 Fabricación de partes para vehículos automotores,290.9,176.7,216.1,167.5,207.3,237.9,221.3,285.4,399.5,253.9,279.1,716.9,645.5,499.1,25.3,647.6,-51.3,89.5,"5,308.4"
Alemania,3364 Fabricación de equipo aeroespacial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,C,C,C,0.0,C,C
