"País de Origen/Sector, subsector y rama",,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
España,"3116 Matanza, empacado y procesamiento de carne de ganado, aves y otros animales comestibles",0.0,0.0,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5
España,3119 Otras industrias alimentarias,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,-1.5,0.0,C,C,0.0,0.0,-0.1
España,312 Industria de las bebidas y del tabaco,7.7,C,C,45.9,9.7,C,C,C,C,-3.6,-9.7,219.3,C,C,5.3,C,C,0.0,588.9
España,3121 Industria de las bebidas,7.7,C,C,45.9,9.7,C,C,C,C,-3.6,-9.7,219.3,C,C,5.3,C,C,0.0,588.9
España,3122 Industria del tabaco,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,313 Fabricación de insumos textiles y acabado de textiles,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,0.0,0.0,78.3
España,"3131 Preparación e hilado de fibras textiles, y fabricación de hilos",C,0.0,0.0,0.0,C,C,C,0.0,0.0,C,0.0,C,0.0,C,C,C,0.0,0.0,C
España,3132 Fabricación de telas,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
España,3133 Acabado de productos textiles y fabricación de telas recubiertas,C,0.0,C,0.0,0.0,C,C,C,C,C,C,C,C,C,0.0,0.0,0.0,0.0,43.6
España,"314 Fabricación de productos textiles, excepto prendas de vestir",1.5,9.7,20.1,5.4,0.2,-0.4,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2
España,"3141 Confección de alfombras, blancos y similares",1.4,9.7,20.1,5.4,-0.8,C,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.3
España,"3149 Fabricación de otros productos textiles, excepto prendas de vestir",C,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
España,315 Fabricación de prendas de vestir,C,C,C,0.0,0.0,0.0,2.9,C,C,9.8,C,C,0.0,9.6,C,C,C,0.0,25.1
España,3151 Fabricación de prendas de vestir de tejido de punto,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,14.6
España,3152 Confección de prendas de vestir,C,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,C,0.0,9.6,C,0.0,0.0,0.0,14.6
España,3159 Confección de accesorios de vestir y otras prendas de vestir no clasificados en otra parte,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,0.0,0.0,0.0,C,C,C,0.0,-4.1
España,"316 Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
España,3161 Curtido y acabado de cuero y piel,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,3162 Fabricación de calzado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,321 Industria de la madera,0.0,0.0,C,0.0,C,0.0,0.0,0.0,C,0.0,C,C,C,0.0,0.0,C,C,0.0,0.1
España,3212 Fabricación de laminados y aglutinados de madera,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,3219 Fabricación de otros productos de madera,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,C,C,C,0.0,0.0,C,C,0.0,0.1
España,322 Industria del papel,C,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,C,0.0,C,12.7,0.0,C,0.0,37.4
España,"3221 Fabricación de pulpa, papel y cartón",0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,C,0.0,C,C,0.0,C,0.0,15.2
España,3222 Fabricación de productos de cartón y papel,C,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,22.2
España,323 Impresión e industrias conexas,3.1,3.7,3.7,3.5,0.0,2.3,2.0,0.7,0.0,C,0.0,C,C,C,C,C,C,0.0,32.9
España,3231 Impresión e industrias conexas,3.1,3.7,3.7,3.5,0.0,2.3,2.0,0.7,0.0,C,0.0,C,C,C,C,C,C,0.0,32.9
España,324 Fabricación de productos derivados del petróleo y del carbón,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C
España,3241 Fabricación de productos derivados del petróleo y del carbón,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,C
España,325 Industria química,17.3,13.3,5.5,-1.9,84.1,70.2,75.9,-8.2,38.5,-2.1,5.8,0.2,7.3,1.5,-0.4,-4.7,33.5,C,341.0
España,3251 Fabricación de productos químicos básicos,C,C,0.0,C,0.0,C,0.0,0.0,0.0,C,C,0.0,C,C,0.0,0.0,C,0.0,6.8
España,"3252 Fabricación de resinas y hules sintéticos, y fibras químicas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,C
España,"3253 Fabricación de fertilizantes, pesticidas y otros agroquímicos",C,0.0,0.0,0.0,C,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,C,C,0.0,0.0,-1.0
España,3254 Fabricación de productos farmacéuticos,6.0,4.6,-1.6,0.2,84.0,61.7,74.9,-8.9,14.0,C,0.0,C,8.8,C,1.6,C,C,0.0,251.2
España,"3255 Fabricación de pinturas, recubrimientos y adhesivos",C,C,0.2,-2.1,0.0,C,C,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6
España,"3256 Fabricación de jabones, limpiadores y preparaciones de tocador",11.0,8.3,C,0.0,0.0,0.0,C,0.7,C,C,0.0,0.0,0.0,C,0.0,C,C,0.0,93.0
España,3259 Fabricación de otros productos químicos,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,C,C,C,C,C,C,C,-2.3
España,326 Industria del plástico y del hule,C,7.0,10.9,6.5,44.3,5.7,31.4,-4.5,-0.1,-61.2,C,13.2,-4.7,-2.3,22.9,20.0,-1.0,0.0,94.0
España,3261 Fabricación de productos de plástico,C,7.0,10.9,6.5,44.3,5.6,31.8,-4.8,-1.5,-61.2,C,13.2,-4.7,-2.3,22.9,20.0,-1.0,0.0,92.5
España,3262 Fabricación de productos de hule,0.0,0.0,0.0,0.0,0.0,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,327 Fabricación de productos a base de minerales no metálicos,0.5,C,0.8,1.3,1.3,3.2,C,1.3,C,9.0,C,C,C,C,C,19.4,C,0.0,89.0
España,3271 Fabricación de productos a base de arcillas y minerales refractarios,0.5,C,0.8,C,C,C,0.0,C,C,C,C,C,C,C,C,C,C,0.0,53.8
España,3272 Fabricación de vidrio y productos de vidrio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,C
España,3273 Fabricación de cemento y productos de concreto,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,1.0
España,3279 Fabricación de otros productos a base de minerales no metálicos,0.0,0.0,0.0,C,C,C,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
España,331 Industrias metálicas básicas,C,0.0,C,C,0.0,0.0,3.7,2.9,C,C,0.0,C,5.6,0.0,0.0,0.0,0.0,C,22.6
España,3311 Industria básica del hierro y del acero,C,0.0,C,C,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8
España,3312 Fabricación de productos de hierro y acero,C,0.0,0.0,C,0.0,0.0,C,C,0.0,C,0.0,C,5.6,0.0,0.0,0.0,0.0,0.0,12.0
España,3313 Industria básica del aluminio,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,3315 Moldeo por fundición de piezas metálicas,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C
España,332 Fabricación de productos metálicos,C,5.5,9.7,C,3.9,5.2,2.4,5.4,5.9,2.3,C,C,0.0,-0.7,0.0,C,C,0.0,58.0
España,3321 Fabricación de productos metálicos forjados y troquelados,0.0,0.0,0.0,0.0,0.0,C,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
España,3322 Fabricación de herramientas de mano sin motor y utensilios de cocina metálicos,0.0,0.0,0.0,0.0,C,C,C,C,C,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
España,3323 Fabricación de estructuras metálicas y productos de herrería,0.0,4.6,C,C,C,0.0,C,0.0,C,C,0.0,0.0,C,0.0,0.0,C,C,0.0,12.4
España,"3324 Fabricación de calderas, tanques y envases metálicos",0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,C
España,3325 Fabricación de herrajes y cerraduras,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
España,"3326 Fabricación de alambre, productos de alambre y resortes",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,C,0.0,C,C,0.0,0.0,C,0.0,C
