País de Origen,Entidad federativa,Total 2006,Total 2007,Total 2008,Total 2009,Total 2010,Total 2011,Total 2012,Total 2013,Total 2014,Total 2015,Total 2016,Total 2017,Total 2018,Total 2019,Total 2020,Total 2021,Total 2022,Total 2023,Total general
Noruega,Veracruz de Ignacio de la Llave,C,3.5,C,C,C,C,93.3,C,27.4,C,C,C,C,C,C,0.0,0.0,0.0,523.9
Noruega,Yucatán,0.0,0.0,C,C,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,C,C,0.0,C,0.0,C,0.8
Noruega,Zacatecas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Baja California,C,C,-0.4,C,C,0.0,0.0,0.0,0.0,0.0,C,C,C,C,C,C,C,0.0,44.2
Nueva Zelandia,Baja California Sur,0.0,C,C,C,0.0,1.9,C,0.0,C,C,0.0,0.0,0.0,0.0,0.0,C,C,C,4.2
Nueva Zelandia,Chihuahua,C,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,C,0.0,10.7
Nueva Zelandia,Ciudad de México,0.0,C,C,C,C,39.2,-37.9,C,C,3.5,0.0,C,C,0.0,0.0,C,C,0.0,96.3
Nueva Zelandia,Coahuila de Zaragoza,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Colima,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Estado de México,0.0,0.0,C,0.0,C,0.0,0.0,C,0.0,0.0,0.0,0.0,C,C,0.0,0.0,0.0,0.0,-1.4
Nueva Zelandia,Guanajuato,0.0,0.0,C,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Guerrero,0.0,C,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Jalisco,C,1.1,26.6,6.5,5.2,C,-5.8,C,C,C,0.0,0.0,C,C,C,-0.2,C,C,48.7
Nueva Zelandia,Morelos,0.0,0.0,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C
Nueva Zelandia,Nayarit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,C,0.0,0.0,C,C,0.0,0.0,0.0,0.5
Nueva Zelandia,Nuevo León,0.0,0.0,C,0.0,C,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,0.0,C,0.0,0.0,C,1.8
